id,label
0,5
1,1
2,1
3,0
4,9
5,5
6,4
7,6
8,6
9,4
10,9
11,7
12,3
13,6
14,1
15,6
16,6
17,4
18,0
19,0
20,4
21,8
22,8
23,0
24,0
25,1
26,3
27,8
28,3
29,9
30,3
31,3
32,3
33,8
34,3
35,0
36,0
37,1
38,8
39,8
40,8
41,1
42,0
43,6
44,1
45,6
46,6
47,3
48,7
49,9
50,6
51,7
52,7
53,5
54,1
55,5
56,4
57,9
58,4
59,1
60,5
61,7
62,4
63,9
64,0
65,1
66,1
67,5
68,4
69,5
70,4
71,6
72,7
73,7
74,6
75,3
76,6
77,3
78,6
79,4
80,0
81,4
82,1
83,4
84,0
85,8
86,8
87,7
88,7
89,3
90,8
91,3
92,7
93,3
94,3
95,5
96,3
97,8
98,3
99,3
100,7
101,8
102,8
103,4
104,1
105,0
106,0
107,4
108,6
109,3
110,6
111,7
112,9
113,6
114,6
115,7
116,6
117,7
118,4
119,5
120,4
121,1
122,0
123,9
124,5
125,5
126,9
127,9
128,4
129,1
130,5
131,7
132,6
133,6
134,7
135,4
136,3
137,1
138,6
139,0
140,0
141,1
142,8
143,4
144,4
145,7
146,3
147,3
148,5
149,3
150,8
151,3
152,7
153,3
154,8
155,5
156,8
157,0
158,4
159,8
160,8
161,0
162,0
163,0
164,6
165,6
166,1
167,1
168,3
169,4
170,6
171,9
172,6
173,6
174,7
175,1
176,0
177,5
178,4
179,5
180,5
181,5
182,4
183,9
184,1
185,1
186,0
187,4
188,9
189,7
190,6
191,6
192,9
193,7
194,7
195,4
196,6
197,3
198,6
199,6
200,8
201,8
202,1
203,4
204,0
205,0
206,0
207,8
208,1
209,4
210,4
211,0
212,5
213,3
214,3
215,3
216,7
217,8
218,7
219,3
220,3
221,3
222,0
223,0
224,8
225,1
226,0
227,0
228,0
229,8
230,6
231,6
232,3
233,6
234,3
235,3
236,4
237,4
238,7
239,7
240,9
241,6
242,6
243,4
244,9
245,9
246,0
247,1
248,1
249,9
250,5
251,4
252,7
253,7
254,0
255,1
256,0
257,1
258,9
259,5
260,0
261,6
262,9
263,9
264,6
265,6
266,8
267,3
268,8
269,6
270,8
271,4
272,0
273,8
274,8
275,5
276,0
277,7
278,7
279,5
280,8
281,5
282,3
283,3
284,3
285,3
286,5
287,8
288,5
289,8
290,0
291,8
292,4
293,6
294,3
295,8
296,9
297,9
298,6
299,9
300,9
301,0
302,1
303,0
304,9
305,9
306,0
307,7
308,0
309,7
310,9
311,1
312,5
313,9
314,9
315,5
316,5
317,9
318,9
319,6
320,9
321,6
322,9
323,3
324,8
325,4
326,0
327,5
328,0
329,7
330,7
331,7
332,3
333,3
334,5
335,6
336,5
337,6
338,3
339,3
340,7
341,4
342,8
343,0
344,0
345,5
346,8
347,4
348,4
349,8
350,3
351,9
352,9
353,1
354,5
355,9
356,0
357,1
358,9
359,5
360,0
361,0
362,7
363,5
364,1
365,0
366,9
367,5
368,9
369,0
370,6
371,9
372,9
373,9
374,6
375,6
376,3
377,8
378,8
379,0
380,0
381,4
382,4
383,0
384,8
385,3
386,3
387,5
388,7
389,7
390,5
391,3
392,3
393,8
394,4
395,4
396,0
397,0
398,8
399,4
400,5
401,0
402,8
403,3
404,3
405,9
406,9
407,6
408,9
409,0
410,1
411,0
412,1
413,5
414,9
415,5
416,7
417,0
418,7
419,1
420,5
421,5
422,0
423,1
424,9
425,9
426,0
427,1
428,9
429,6
430,9
431,6
432,9
433,8
434,3
435,6
436,0
437,4
438,4
439,5
440,5
441,3
442,3
443,5
444,7
445,7
446,3
447,5
448,7
449,7
450,5
451,4
452,0
453,8
454,0
455,3
456,8
457,9
458,6
459,6
460,9
461,9
462,9
463,1
464,0
465,1
466,9
467,1
468,5
469,5
470,7
471,0
472,7
473,7
474,7
475,9
476,0
477,5
478,9
479,0
480,5
481,4
482,9
483,6
484,6
485,8
486,8
487,8
488,4
489,4
490,0
491,0
492,0
493,1
494,8
495,7
496,3
497,8
498,5
499,6
500,3
501,5
502,5
503,6
504,7
505,7
506,8
507,1
508,4
509,0
510,8
511,3
512,9
513,9
514,4
515,5
516,9
517,5
518,0
519,1
520,0
521,5
522,9
523,9
524,0
525,7
526,1
527,0
528,9
529,9
530,5
531,5
532,6
533,9
534,4
535,9
536,6
537,6
538,3
539,8
540,4
541,8
542,8
543,4
544,0
545,0
546,8
547,7
548,7
549,5
550,3
551,7
552,5
553,3
554,8
555,7
556,6
557,0
558,0
559,8
560,8
561,4
562,8
563,3
564,8
565,3
566,6
567,6
568,4
569,9
570,6
571,5
572,5
573,9
574,9
575,0
576,1
577,7
578,7
579,5
580,5
581,1
582,1
583,0
584,5
585,9
586,6
587,6
588,9
589,9
590,4
591,8
592,3
593,8
594,8
595,0
596,0
597,1
598,4
599,3
600,5
601,7
602,3
603,6
604,7
605,7
606,7
607,7
608,3
609,6
610,3
611,5
612,4
613,0
614,0
615,8
616,8
617,6
618,8
619,4
620,9
621,9
622,6
623,5
624,5
625,5
626,7
627,7
628,7
629,1
630,5
631,9
632,5
633,0
634,9
635,0
636,9
637,6
638,6
639,4
640,8
641,1
642,8
643,8
644,4
645,0
646,5
647,4
648,8
649,3
650,3
651,5
652,5
653,8
654,6
655,6
656,8
657,5
658,3
659,3
660,8
661,0
662,8
663,8
664,1
665,0
666,0
667,8
668,8
669,6
670,6
671,9
672,1
673,1
674,9
675,9
676,5
677,9
678,0
679,7
680,7
681,7
682,5
683,1
684,9
685,9
686,5
687,4
688,4
689,4
690,6
691,3
692,6
693,3
694,6
695,6
696,1
697,1
698,1
699,6
700,4
701,0
702,0
703,8
704,8
705,0
706,0
707,1
708,8
709,7
710,3
711,8
712,3
713,9
714,3
715,3
716,7
717,8
718,8
719,0
720,8
721,0
722,8
723,4
724,1
725,1
726,1
727,6
728,6
729,3
730,3
731,6
732,6
733,6
734,4
735,4
736,5
737,4
738,1
739,9
740,7
741,5
742,5
743,7
744,1
745,9
746,4
747,5
748,9
749,1
750,1
751,5
752,5
753,9
754,6
755,7
756,6
757,6
758,6
759,3
760,1
761,1
762,6
763,1
764,4
765,1
766,4
767,8
768,0
769,8
770,8
771,7
772,8
773,3
774,3
775,3
776,7
777,3
778,3
779,7
780,8
781,7
782,0
783,1
784,8
785,8
786,4
787,1
788,0
789,4
790,4
791,6
792,1
793,1
794,6
795,6
796,7
797,6
798,9
799,1
800,5
801,5
802,9
803,1
804,1
805,5
806,9
807,7
808,5
809,5
810,5
811,7
812,5
813,4
814,4
815,1
816,6
817,4
818,6
819,4
820,6
821,3
822,6
823,1
824,1
825,1
826,0
827,8
828,1
829,4
830,8
831,4
832,4
833,0
834,3
835,7
836,9
837,8
838,7
839,7
840,8
841,3
842,4
843,4
844,0
845,4
846,1
847,8
848,0
849,0
850,8
851,1
852,6
853,1
854,1
855,6
856,6
857,4
858,4
859,6
860,6
861,1
862,9
863,5
864,9
865,5
866,5
867,0
868,5
869,7
870,5
871,5
872,7
873,5
874,9
875,1
876,5
877,5
878,9
879,1
880,4
881,9
882,6
883,7
884,4
885,9
886,3
887,6
888,6
889,3
890,1
891,6
892,6
893,1
894,0
895,8
896,1
897,8
898,0
899,4
900,4
901,7
902,7
903,3
904,8
905,3
906,7
907,9
908,9
909,8
910,8
911,3
912,7
913,3
914,1
915,0
916,0
917,1
918,8
919,1
920,1
921,6
922,1
923,6
924,3
925,6
926,6
927,3
928,4
929,9
930,7
931,7
932,4
933,6
934,6
935,9
936,4
937,9
938,1
939,1
940,5
941,9
